Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Cisplatin","1005","KP-1N","1298216","PAAD","pancreas","pancreas","3.6894934448903474",".94840105668357988","8",".077174615584362671",".25353706391387215","GDSC2"
"Cisplatin","1005","KP-2","1298218","PAAD","pancreas","pancreas","6.5661358785037578",".98758384193283799","8",".057350658089648905","1.8151888755793684","GDSC2"
"Cisplatin","1005","PANC-02-03","1298475","PAAD","pancreas","pancreas","6.6262464923448015",".97556925056816002","8",".049843400164418038","1.847821311195385","GDSC2"
"Cisplatin","1005","PANC-04-03","1298476","PAAD","pancreas","pancreas","9.2299876649331036",".97478067725521189","8",".05549588551602147","3.261322367763269","GDSC2"
"Cisplatin","1005","PA-TU-8902","1298526","PAAD","pancreas","pancreas","5.5917793274546055",".95808444691454253","8",".059299395472465016","1.2862369087397731","GDSC2"
"Cisplatin","1005","PL4","1298533","PAAD","pancreas","pancreas","3.8151398354059407",".94417630354560123","8",".080793050767695315",".32174711014177115","GDSC2"
"Cytarabine","1006","HPAF-II","724869","PAAD","pancreas","pancreas","3.1923213651654683",".950975753922216","2",".066942091401183998",".7203861970088451","GDSC2"
"Cytarabine","1006","MIA-PaCa-2","724870","PAAD","pancreas","pancreas","2.4873139530058923",".95764663787868975","2",".035608423159313188",".41041576850106892","GDSC2"
"Cytarabine","1006","KP-4","753572","PAAD","pancreas","pancreas","1.1830838419694316",".92291472364847116","2",".062765544388546549","-.16301475069354429","GDSC2"
"Cytarabine","1006","CAPAN-1","753624","PAAD","pancreas","pancreas",".73194879727497253",".85149231790754965","2",".054146618269287877","-.36136518035847992","GDSC2"
"Cytarabine","1006","BxPC-3","906693","PAAD","pancreas","pancreas","2.7715413544460223",".94993286230058416","2",".040118703242323361",".53538195736449501","GDSC2"
"Cytarabine","1006","CFPAC-1","906821","PAAD","pancreas","pancreas",".36103178226871058",".80618313478728509","2",".070764163097570346","-.52444616943649613","GDSC2"
"Cytarabine","1006","HuP-T3","907285","PAAD","pancreas","pancreas","2.9312720697364512",".92886895406250458","2",".056717794240124748",".60561072008453998","GDSC2"
"Cytarabine","1006","HuP-T4","907286","PAAD","pancreas","pancreas","1.2036019390749146",".89641718647666424","2",".041780482123662831","-.15399356418932186","GDSC2"
"Cytarabine","1006","YAPC","909904","PAAD","pancreas","pancreas","2.2804301776222182",".89812333703064196","2",".041520604810598383",".31945523191529346","GDSC2"
"Cytarabine","1006","PSN1","910546","PAAD","pancreas","pancreas","-.17411418111766641",".77696741963676219","2",".041743623548767893","-.7597336582260974","GDSC2"
"Cytarabine","1006","AsPC-1","910702","PAAD","pancreas","pancreas","4.0923746226019837",".91389697077361176","2",".059217051232545732","1.1161123824014436","GDSC2"
"Cytarabine","1006","SW1990","910907","PAAD","pancreas","pancreas","3.246625746995111",".96329918509294166","2",".061230420405340262",".74426219067254606","GDSC2"
"Cytarabine","1006","CAPAN-2","910915","PAAD","pancreas","pancreas","5.1278085415457992",".96991956785565436","2",".049681291260967875","1.5713613485979208","GDSC2"
"Cytarabine","1006","PANC-03-27","925346","PAAD","pancreas","pancreas","1.8984644724293738",".92496100854092322","2",".042740284475859314",".15151646805006769","GDSC2"
"Cytarabine","1006","PANC-08-13","925347","PAAD","pancreas","pancreas","4.4535349037499499",".97515018211617788","2",".11720684478520785","1.2749036308005239","GDSC2"
"Cytarabine","1006","PANC-10-05","925348","PAAD","pancreas","pancreas","3.1968989675384853",".89660385541365129","2",".053491453467827681",".72239883027287832","GDSC2"
"Cytarabine","1006","PA-TU-8988T","1240201","PAAD","pancreas","pancreas",".60209757911410589",".86200411543696542","2",".034072363654466219","-.41845683222109908","GDSC2"
"Cytarabine","1006","SU8686","1240218","PAAD","pancreas","pancreas","5.1694152170329524",".98040659524635354","2",".045754754324949583","1.5896545449630928","GDSC2"
"Cytarabine","1006","SUIT-2","1240219","PAAD","pancreas","pancreas","1.7006906407726761",".88884707192835033","2",".036158434893963885",".064561298091690811","GDSC2"
"Cytarabine","1006","DAN-G","1290797","PAAD","pancreas","pancreas",".38647837967283244",".84160035846248371","2",".12216698768193225","-.51325807046706973","GDSC2"
"Cytarabine","1006","HPAC","1298136","PAAD","pancreas","pancreas","5.109365878098191",".97058281935741142","2",".059129960231500384","1.5632526674789968","GDSC2"
"Cytarabine","1006","Hs-766T","1298141","PAAD","pancreas","pancreas","5.5774937618757532",".967201967636799","2",".058457223658475055","1.7690743343554938","GDSC2"
"Cytarabine","1006","KP-1N","1298216","PAAD","pancreas","pancreas","1.4678434247597798",".90724916898457608","2",".13677958415582608","-.037814577792041691","GDSC2"
"Cytarabine","1006","KP-2","1298218","PAAD","pancreas","pancreas","3.7257992927919119",".96775170095398944","2",".018467509360305993",".95494030094269144","GDSC2"
"Cytarabine","1006","PANC-02-03","1298475","PAAD","pancreas","pancreas","2.2336826092578699",".89561426977656067","2",".052646002599400096",".29890174049425039","GDSC2"
"Cytarabine","1006","PANC-04-03","1298476","PAAD","pancreas","pancreas","6.4237471432407203",".9558693950325774","2",".066750801205452209","2.1411463420019605","GDSC2"
"Cytarabine","1006","PA-TU-8902","1298526","PAAD","pancreas","pancreas","3.4285195439560696",".93533580672793015","2",".04272400209736342",".82423538983961098","GDSC2"
"Cytarabine","1006","PL4","1298533","PAAD","pancreas","pancreas",".94183046756939826",".86560260441370462","2",".1286216480812083","-.26908656008439191","GDSC2"
"Docetaxel","1007","HPAF-II","724869","PAAD","pancreas","pancreas","-2.910453941782972",".9164959518385265",".012500000000000001",".055834322331486198",".92327604092423998","GDSC2"
