"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P17858","PFKL","6.1502213","4.012561"
"Q86YS7","C2CD5","5.691218","3.978977"
"Q9BWS9","CHID1","5.918323","3.8044436"
"Q14696","MESD","7.0671124","3.750128"
"O75093","SLIT1","7.7409797","3.7005272"
"Q92520","FAM3C","7.628171","3.4675028"
"Q86XZ4","SPATS2","4.820373","3.3531988"
"Q9NXW2","DNAJB12","5.045729","3.2176394"
"Q8NBX0","SCCPDH","8.319536","3.1996272"
"Q9BV79","MECR","6.247935","3.1577458"
"Q96T76","MMS19","5.644432","3.1509674"
"O75376","NCOR1","4.7178755","3.1454728"
"Q16798","ME3","5.0926065","3.1336818"
"Q14320","FAM50A","5.6077156","3.0569365"
"Q8N5K1","CISD2","7.257871","3.053776"
"Q5K4L6","SLC27A3","6.72964","3.0065148"
"Q8NBM4","UBAC2","5.5196924","3.0058427"
"P55145","MANF","6.3983874","2.9899814"
"Q969P0","IGSF8","6.1884217","2.9395194"
"P10074","ZBTB48","7.478534","2.899821"
"Q8NBJ4","GOLM1","6.0720024","2.8065553"
"Q9UI26","IPO11","4.790135","2.7935271"
"Q5BJD5","TMEM41B","5.354609","2.726268"
"Q96BZ8","LENG1","4.6250606","2.7098427"
"O43823","AKAP8","4.232471","2.7031205"
"A1L0T0","ILVBL","6.0532227","2.7027078"
"P26885","FKBP2","8.780209","2.6654575"
"Q9H2U2","PPA2","7.8334937","2.5954635"
"Q9H0N5","PCBD2","4.82667","2.577413"
"Q9NX40","OCIAD1","7.928187","2.5703163"
"Q06481","APLP2","4.9286656","2.5451689"
"P42126","ECI1","7.612177","2.5377882"
"Q99653","CHP1","6.709132","2.526854"
"P80188","LCN2","8.922041","2.5240443"
"Q14BN4","SLMAP","4.6472125","2.5154133"
"Q96HE7","ERO1A","7.6055646","2.5104406"
"Q8N4Y2","CRACR2B","8.611179","2.5098329"
"Q6ZN66","GBP6","5.76455","2.4838498"
"Q15828","CST6","5.551156","2.4781187"
"P18754","RCC1","8.122385","2.4757473"
"P34949","MPI","5.326326","2.4739373"
"Q6IA17","SIGIRR","5.036764","2.470676"
"Q7L5N7","LPCAT2","6.593813","2.4673145"
"Q9Y673","ALG5","4.8034024","2.4469643"
"Q9GZU5","NYX","7.4004955","2.4127316"
"P51570","GALK1","6.195769","2.4061244"
"P43353","ALDH3B1","5.706665","2.3630762"
"Q5H9R7","PPP6R3","3.7801595","2.3424249"
"Q9BQC6","MRPL57","5.116504","2.3381152"
"P35914","HMGCL","5.658957","2.3296852"
"Q96RR1","TWNK","4.2679815","2.3006456"
"O15455","TLR3","4.0119915","2.2915373"
"P10515","DLAT","8.205912","2.283417"
"Q9Y5J7","TIMM9","6.8938684","2.2727635"
"P11279","LAMP1","9.427442","2.258367"
"Q8NBU5","ATAD1","5.174486","2.257316"
"Q8N511","TMEM199","4.799334","2.231868"
"P30048","PRDX3","10.487117","2.2287483"
"Q9BT22","ALG1","5.1920285","2.2281194"
"Q8N257","H2BC26","8.510833","2.2022436"
"Q9BRR6","ADPGK","4.7744603","2.2018366"
"O43504","LAMTOR5","6.2811995","2.194826"
"Q14315","FLNC","8.983535","2.1932175"
"Q92673","SORL1","4.597322","2.1817875"
"P15941","MUC1","7.6184964","2.1667898"
"Q08357","SLC20A2","3.9675047","2.163128"
"Q92876","KLK6","6.488894","2.1626303"
"P23434","GCSH","7.1097913","2.1587281"
"Q8NFV4","ABHD11","6.959899","2.158192"
"O75915","ARL6IP5","7.348631","2.1524386"
"Q86U42","PABPN1","8.05322","2.1514668"
"P16435","POR","7.6036625","2.148032"
"Q9Y320","TMX2","5.562699","2.140007"
"Q8TBM8","DNAJB14","4.3277483","2.1377316"
"Q9Y4A5","TRRAP","3.4024959","2.1123595"
"O14773","TPP1","7.66042","2.1104174"
"Q53EU6","GPAT3","4.5956845","2.0951755"
"Q9Y394","DHRS7","6.4369392","2.0919976"
"Q15005","SPCS2","5.467788","2.0765557"
"P17535","JUND","3.4350393","2.070665"
"Q9NQ50","MRPL40","5.298471","2.0647805"
"O94919","ENDOD1","6.5056095","2.063706"
"Q13488","TCIRG1","4.43594","2.0629115"
"Q13217","DNAJC3","6.1580153","2.060806"
"O15269","SPTLC1","7.2795806","2.045365"
"P07339","CTSD","10.152324","2.0329545"
"Q13268","DHRS2","8.224056","2.0322862"
