"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9H9P8","L2HGDH","4.281959","1.7313335"
"O60763","USO1","5.913928","1.7239329"
"Q9Y5J7","TIMM9","6.543827","1.7233471"
"Q6NSJ5","LRRC8E","3.1236389","1.7202169"
"Q9Y3A6","TMED5","6.668938","1.7198931"
"P61006","RAB8A","6.0931144","1.7193946"
"Q9H4Z3","PCIF1","3.329308","1.7043456"
"Q9NQC3","RTN4","9.193607","1.7038585"
"Q643R3","LPCAT4","3.4384189","1.7011707"
"P53985","SLC16A1","4.1866174","1.6988066"
"O75525","KHDRBS3","5.694956","1.6927313"
"Q9NVJ2","ARL8B","5.5179086","1.6863108"
"O95395","GCNT3","4.9397807","1.6848909"
"Q9H9H4","VPS37B","3.1159883","1.6720563"
"Q12931","TRAP1","9.567378","1.6669534"
"Q32P41","TRMT5","3.457498","1.6647422"
"Q96SZ6","CDK5RAP1","2.04012","1.6646833"
"Q9H936","SLC25A22","3.980643","1.657541"
"Q9UDY2","TJP2","5.675338","1.6557951"
"O15231","ZNF185","6.1425323","1.6538098"
"P00749","PLAU","3.450147","1.6521751"
"Q9P1U0","POLR1H","3.2592037","1.642208"
"Q15061","WDR43","5.3664517","1.6401564"
"Q15025","TNIP1","3.018625","1.6379426"
"P26232","CTNNA2","5.4860964","1.6378368"
"O75381","PEX14","5.0203133","1.6353995"
"P20339","RAB5A","4.6341233","1.6349322"
"P84090","ERH","5.6673565","1.633346"
"Q99618","CDCA3","4.066651","1.632644"
"Q7L1Q6","BZW1","5.78664","1.6320837"
"Q15286","RAB35","5.1787534","1.62815"
"Q8NC42","RNF149","3.9605026","1.6248735"
"P53992","SEC24C","4.3320084","1.6247383"
"Q969X6","UTP4","4.777099","1.622722"
"Q8N183","NDUFAF2","5.4128876","1.6204972"
"Q9H8H0","NOL11","4.287826","1.6199437"
"P52756","RBM5","3.3714778","1.6193416"
"O60637","TSPAN3","6.8358717","1.6166651"
"Q04756","HGFAC","4.6607356","1.6159029"
"Q8N5I2","ARRDC1","2.5807106","1.6137087"
"Q8TED0","UTP15","3.833472","1.6127306"
