"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9NRL2","BAZ1A","12.572291","7.200118"
"Q96T58","SPEN","6.5341506","5.5308175"
"Q9NTJ3","SMC4","7.3721538","4.158589"
"Q9UQR1","ZNF148","5.7196364","3.9301267"
"P16104","H2AX","7.968297","3.7372563"
"Q8WX93","PALLD","7.845158","3.6131265"
"O43169","CYB5B","8.811488","3.5743468"
"Q13616","CUL1","5.3717113","3.567803"
"P35914","HMGCL","6.6624546","3.5484784"
"Q8WVK2","SNRNP27","6.391008","3.4903202"
"Q4V328","GRIPAP1","5.4873805","3.4010267"
"Q5K4L6","SLC27A3","7.1886377","3.3735998"
"P78362","SRPK2","5.223475","3.2404883"
"O15357","INPPL1","5.529822","3.1851065"
"Q9NQW6","ANLN","5.9780498","3.0890832"
"P13196","ALAS1","4.789214","3.018479"
"O95817","BAG3","6.896837","2.951646"
"Q9NUM4","TMEM106B","4.5708957","2.876065"
"P61026","RAB10","8.826772","2.8681784"
"O15460","P4HA2","8.731614","2.8555765"
"Q8IYT3","CCDC170","6.473487","2.823613"
"O15020","SPTBN2","5.9811716","2.7691648"
"P40939","HADHA","8.890498","2.7456698"
"O94766","B3GAT3","5.8301907","2.7390945"
"Q9H9H4","VPS37B","3.9815838","2.721243"
"P53597","SUCLG1","7.4144597","2.702619"
"Q9H0B6","KLC2","5.3205805","2.7019765"
"P31937","HIBADH","7.382063","2.6763082"
"Q9UDY4","DNAJB4","5.797345","2.6606083"
"Q15437","SEC23B","4.8595815","2.6151574"
"Q05707","COL14A1","6.25089","2.6140947"
"Q9Y5A7","NUB1","4.8865004","2.611405"
"Q9UI36","DACH1","7.5581403","2.604408"
"Q6PIU2","NCEH1","11.00204","2.6034627"
"P35232","PHB1","10.597677","2.5890212"
"Q96NW7","LRRC7","5.4884253","2.5850108"
"P55084","HADHB","9.233142","2.5556927"
"Q5BJD5","TMEM41B","5.212018","2.5548067"
"Q9NS93","TM7SF3","5.171054","2.5438085"
"O00330","PDHX","6.5504084","2.5416625"
"P55789","GFER","3.7096734","2.5377033"
"Q9BUA3","SPINDOC","4.6071076","2.5361214"
"P11234","RALB","7.2059035","2.5135515"
"Q8N0X4","CLYBL","4.6467786","2.5056717"
"Q5R372","RABGAP1L","5.0835037","2.5044436"
"O15381","NVL","3.8280067","2.479515"
"Q63HN8","RNF213","4.7921224","2.4565978"
"O95197","RTN3","5.9995723","2.4530425"
"P49585","PCYT1A","5.7078953","2.4442847"
"Q9Y617","PSAT1","7.618884","2.428952"
"P42126","ECI1","7.5011463","2.4217412"
"Q9NUJ1","ABHD10","7.1551795","2.419223"
"P16035","TIMP2","3.7721703","2.4137554"
"Q9BV79","MECR","5.710566","2.3905284"
"P36404","ARL2","4.667478","2.3885357"
"P30048","PRDX3","10.586007","2.386464"
"P09525","ANXA4","8.867458","2.3805916"
"P17676","CEBPB","6.6215305","2.3752303"
"Q2TB90","HKDC1","7.3558846","2.3736498"
"Q96MW5","COG8","4.1117654","2.3696125"
"P38571","LIPA","5.012333","2.3658884"
"P00749","PLAU","4.192637","2.3510935"
"O60318","MCM3AP","3.7094398","2.3431342"
"P49411","TUFM","9.949267","2.3373864"
"P24752","ACAT1","9.094323","2.3319864"
"O75882","ATRN","5.023785","2.3315594"
"Q53GQ0","HSD17B12","6.5904527","2.3307824"
"Q9H2U2","PPA2","7.6112814","2.3279085"
"Q02127","DHODH","4.4812894","2.3230715"
"Q9BTT4","MED10","4.0303535","2.2779138"
"Q9GZU5","NYX","7.2758527","2.268553"
"Q9NPJ3","ACOT13","7.594998","2.256874"
"Q12846","STX4","4.8290415","2.256528"
"Q16342","PDCD2","3.9991155","2.2545545"
"Q99707","MTR","5.1689887","2.2219977"
"Q8TCG1","CIP2A","4.410659","2.2154233"
"P23786","CPT2","5.1367254","2.2151213"
"A0A1W2PR48","TLE7","7.1697435","2.21352"
"P53365","ARFIP2","4.2819285","2.2112188"
"Q9BZF9","UACA","4.392291","2.2023032"
"Q96RT1","ERBIN","5.0780587","2.1972027"
"P09884","POLA1","4.4623756","2.196268"
"Q13485","SMAD4","4.425632","2.1922443"
"Q9GZN6","SLC6A16","4.879247","2.1868708"
"Q9UQ53","MGAT4B","4.103746","2.1726263"
"P21741","MDK","4.267262","2.1691496"
"Q99541","PLIN2","6.1637278","2.1641686"
"Q9BUP3","HTATIP2","6.363634","2.1559637"
"Q9ULE3","DENND2A","5.5064697","2.1548975"
"P57678","GEMIN4","4.1576147","2.1501994"
"P02792","FTL","6.6051283","2.1309638"
"Q9H3H5","DPAGT1","4.5107875","2.1154802"
"P08240","SRPRA","5.778766","2.1150272"
"Q9BVM4","GGACT","4.851022","2.1134737"
"O00142","TK2","3.04597","2.1087713"
