"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q13546","RIPK1","4.7684865","3.149674"
"Q8TC07","TBC1D15","6.0157304","2.9990282"
"Q6QNY0","BLOC1S3","4.376926","2.9581316"
"O75093","SLIT1","6.8920445","2.836901"
"Q16850","CYP51A1","5.4201956","2.7757304"
"Q2NL82","TSR1","5.093136","2.685215"
"P01130","LDLR","5.646659","2.6687007"
"Q07157","TJP1","6.6536207","2.643457"
"P61006","RAB8A","6.5096684","2.550213"
"O60343","TBC1D4","5.338002","2.5061224"
"P21399","ACO1","5.3815737","2.5000882"
"Q96IJ6","GMPPA","4.1363654","2.4593258"
"Q15070","OXA1L","5.9028616","2.4461038"
"Q9H7U1","CCSER2","5.713407","2.438048"
"Q15018","ABRAXAS2","3.666213","2.407114"
"Q9H845","ACAD9","6.0081677","2.3899252"
"Q92520","FAM3C","6.525154","2.3875449"
"P20340","RAB6A","5.8144326","2.280485"
"Q9BXW7","HDHD5","6.313629","2.254844"
"Q9BYC5","FUT8","5.49079","2.2467601"
"Q53EZ4","CEP55","4.1683774","2.2293494"
"Q9NVQ4","FAIM","4.2040725","2.225172"
"O15269","SPTLC1","7.4158854","2.2145696"
"P17301","ITGA2","8.449291","2.1837723"
"Q8N2G8","GHDC","4.707114","2.170528"
"O75390","CS","8.852987","2.1577518"
"O75844","ZMPSTE24","6.35987","2.1403997"
"O15083","ERC2","5.15911","2.113233"
"Q1KMD3","HNRNPUL2","6.885268","2.0769947"
"Q14573","ITPR3","5.873129","2.0557487"
"Q9HAV4","XPO5","5.0908647","2.0485904"
"Q86U38","NOP9","4.416231","2.0207775"
"Q13438","OS9","4.3459263","2.0203202"
"Q5W0Z9","ZDHHC20","3.9537778","2.003217"
"P51617","IRAK1","4.803521","1.9998317"
"Q9BSJ8","ESYT1","7.2849107","1.9984788"
"Q92934","BAD","4.0099754","1.981322"
"P50440","GATM","5.5559697","1.9720669"
"Q9P015","MRPL15","5.1032863","1.9671695"
"Q9P2M7","CGN","5.7386537","1.9547852"
"Q9H078","CLPB","5.0246243","1.9470912"
"Q99623","PHB2","9.047624","1.9325031"
"Q99442","SEC62","6.7877593","1.9316589"
"Q9H1C4","UNC93B1","2.489916","1.9269091"
"Q9H7C9","AAMDC","4.139685","1.9254283"
"P38571","LIPA","4.6239815","1.9243894"
"Q9H0U4","RAB1B","5.104405","1.9240702"
"Q9NXW2","DNAJB12","4.0667543","1.9214633"
"Q99942","RNF5","5.1368117","1.9182811"
"P27824","CANX","9.608742","1.9175363"
"Q9UBV2","SEL1L","4.845179","1.9151855"
"Q69YL0","NCBP2AS2","4.1271796","1.9125359"
"Q9BYG5","PARD6B","4.8193374","1.9081513"
"P51148","RAB5C","6.9836206","1.8859708"
"Q8WWI1","LMO7","6.660679","1.8789876"
"O00625","PIR","6.383283","1.8621244"
