"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9Y320","TMX2","5.2176557","1.6853849"
"P36269","GGT5","4.076878","1.6793727"
"Q7LBC6","KDM3B","3.422235","1.678702"
"Q06481","APLP2","4.0276775","1.6780449"
"Q9UHR4","BAIAP2L1","4.7815723","1.6778642"
"Q9H4G0","EPB41L1","5.902357","1.6693331"
"Q8NHQ9","DDX55","3.5734699","1.6609046"
"Q96CS3","FAF2","5.625506","1.6577736"
"Q9Y223","GNE","3.8536897","1.6530385"
"Q75N03","CBLL1","3.2086253","1.6490914"
"P49914","MTHFS","3.0009983","1.6473967"
"Q9NWW5","CLN6","3.8689818","1.6470726"
"A1X283","SH3PXD2B","4.7817264","1.6444652"
"Q6SZW1","SARM1","4.305811","1.6412573"
"Q9UM00","TMCO1","5.0879536","1.6399634"
"Q96HE7","ERO1A","6.678131","1.6397319"
"Q15286","RAB35","5.184902","1.6380377"
"P55786","NPEPPS","5.8379827","1.6359972"
"Q99470","SDF2","3.6666276","1.6334506"
"P54619","PRKAG1","3.5800736","1.6312767"
"A6NKD9","CCDC85C","2.2633853","1.628695"
"P04844","RPN2","6.7694807","1.6280559"
"P98194","ATP2C1","3.5116122","1.6273341"
"P50995","ANXA11","6.883499","1.6241286"
"Q6P1J9","CDC73","4.9880056","1.6212147"
"Q6IA17","SIGIRR","4.078223","1.6194745"
"P26440","IVD","6.993226","1.6085589"
"Q9NUQ6","SPATS2L","5.174697","1.6068043"
"O95573","ACSL3","5.939591","1.6044226"
"Q86X29","LSR","6.126789","1.6031436"
"Q01085","TIAL1","5.165775","1.6021489"
"P09525","ANXA4","7.6178412","1.5976708"
"Q8WXF8","DEDD2","4.434755","1.5935223"
"Q9H7Z6","KAT8","3.2796745","1.5925947"
"Q5HYI7","MTX3","3.2504175","1.589438"
"Q13325","IFIT5","2.6751306","1.5881288"
"P21589","NT5E","7.857948","1.5872902"
"O15042","U2SURP","7.057129","1.584761"
"Q13887","KLF5","3.769685","1.5802994"
"P55212","CASP6","5.722715","1.5793939"
"Q9NQX7","ITM2C","4.013839","1.5785636"
"Q5VYY1","ANKRD22","4.9721093","1.5785297"
"P20810","CAST","6.1442146","1.577777"
"Q9UIQ6","LNPEP","4.183146","1.5749509"
"O75427","LRCH4","3.1250205","1.5712526"
"P22626","HNRNPA2B1","10.92306","1.5707723"
"Q96E29","MTERF3","3.0428977","1.5648714"
"P39059","COL15A1","4.5444865","1.564063"
"O60506","SYNCRIP","7.9048777","1.5573413"
"Q9NR56","MBNL1","3.9586127","1.5544899"
"P55011","SLC12A2","5.4614854","1.5531783"
"Q9H0N5","PCBD2","4.0214353","1.5506282"
"Q9NZD8","SPG21","3.248199","1.5447923"
"Q8WVQ1","CANT1","4.178989","1.544468"
"P16615","ATP2A2","6.688565","1.54434"
"P11166","SLC2A1","8.030886","1.5416446"
"O75390","CS","8.470272","1.5381805"
"Q14980","NUMA1","7.1481156","1.536887"
"O00767","SCD","3.9952362","1.5335604"
"Q9H6S3","EPS8L2","6.280413","1.5322851"
"Q9NR31","SAR1A","4.835002","1.5315593"
"P29762","CRABP1","7.4468985","1.5313804"
"Q9BRR8","GPATCH1","2.9543118","1.5313507"
"O75366","AVIL","6.394409","1.5259585"
"P61916","NPC2","6.3055468","1.5246572"
"Q6IAN0","DHRS7B","3.5922678","1.524019"
"Q15434","RBMS2","3.9366605","1.5224873"
"Q6P4R8","NFRKB","2.0727062","1.5212768"
"Q08380","LGALS3BP","8.388721","1.5151956"
"P40692","MLH1","2.876893","1.51278"
"Q9H3G5","CPVL","6.3158107","1.5106883"
"Q8N4T8","CBR4","3.8273907","1.5098927"
"Q9NVI7","ATAD3A","6.322149","1.5047575"
"P06746","POLB","4.524901","1.50349"
"Q8IUX1","TMEM126B","3.0806692","1.502935"
"Q9P1Y6","PHRF1","2.963799","1.5013608"
"P16144","ITGB4","7.7750087","1.499696"
"Q9Y287","ITM2B","4.7090187","1.4986142"
"Q8NBN3","TMEM87A","3.2785635","1.4955995"
"P51003","PAPOLA","3.2316911","1.4953699"
"P09758","TACSTD2","7.833896","1.4921969"
"Q13492","PICALM","5.396437","1.4919138"
"P85037","FOXK1","5.1009684","1.4912994"
"O15231","ZNF185","5.915557","1.4897236"
"P29317","EPHA2","6.122239","1.488664"
"P05787","KRT8","14.269674","1.4879266"
"Q08357","SLC20A2","3.3382404","1.4871368"
"Q9BYC5","FUT8","4.675897","1.486679"
"Q9BW61","DDA1","2.7447891","1.4851707"
"Q96D46","NMD3","3.6166422","1.4839357"
"Q3ZAQ7","VMA21","4.192841","1.4786315"
"Q9NUM4","TMEM106B","3.4627895","1.4772451"
"Q15853","USF2","2.3375332","1.476404"
"Q9BRT2","UQCC2","5.1758857","1.4761447"
"P07384","CAPN1","6.256582","1.4757333"
"Q14739","LBR","7.2535233","1.4753864"
"O76027","ANXA9","4.8757663","1.4749107"
"Q9P2N5","RBM27","4.241659","1.4744852"
"Q92466","DDB2","3.6560843","1.4700353"
