"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9NR09","BIRC6","5.1955276","4.9526305"
"Q7Z4S6","KIF21A","5.8670444","3.5248322"
"P00441","SOD1","6.97977","2.9295216"
"Q13586","STIM1","6.1583915","2.7605193"
"Q9HAV7","GRPEL1","8.137709","2.7095199"
"O00541","PES1","6.577881","2.6568449"
"Q9NX40","OCIAD1","7.862715","2.471018"
"P83876","TXNL4A","3.1513743","2.4493666"
"Q9H9J2","MRPL44","5.232958","2.448065"
"O60293","ZFC3H1","3.368581","2.4479182"
"Q9UHA4","LAMTOR3","5.4826117","2.4467757"
"Q9NS86","LANCL2","4.192141","2.3700073"
"Q6P161","MRPL54","5.9001713","2.3650646"
"Q9HBH5","RDH14","5.164685","2.3026175"
"Q8N983","MRPL43","6.376636","2.2548604"
"Q15907","RAB11B","6.588738","2.2465055"
"Q08380","LGALS3BP","9.584695","2.234785"
"Q92859","NEO1","6.8429437","2.2273936"
"Q96JJ7","TMX3","6.6285667","2.221591"
"Q9H4A3","WNK1","5.25846","2.2184296"
"Q06265","EXOSC9","4.6738644","2.1902084"
"Q86SX6","GLRX5","6.229137","2.189072"
"P35251","RFC1","5.0247765","2.1759193"
"Q9H089","LSG1","5.1924415","2.1721146"
"O15269","SPTLC1","7.369015","2.156389"
"Q5PRF9","SAMD4B","2.595552","2.1031187"
"Q6IAA8","LAMTOR1","6.5026197","2.1015084"
"O14653","GOSR2","4.106443","2.099582"
"Q13405","MRPL49","5.70048","2.0979676"
"Q9NWU5","MRPL22","4.923903","2.0974836"
"P17858","PFKL","4.5566053","2.0931206"
"Q96EH3","MALSU1","4.198824","2.0915673"
"Q9UDX5","MTFP1","3.4893558","2.0748358"
"Q8WVQ1","CANT1","4.6296024","2.0745826"
"Q96E11","MRRF","5.8587394","2.0698683"
"Q99653","CHP1","6.2039266","2.0563421"
"Q96H55","MYO19","3.6717148","2.0311484"
"Q8IVS8","GLYCTK","4.4558167","2.0231993"
"Q9C0H9","SRCIN1","4.6958823","2.015343"
"Q9Y237","PIN4","4.426213","2.0062637"
"Q14197","MRPL58","6.1391463","1.9993465"
"Q9H6U6","BCAS3","3.405966","1.9943717"
"Q9NRX2","MRPL17","6.3694334","1.993329"
"Q9NQT4","EXOSC5","4.9633093","1.9885485"
"O00592","PODXL","7.97835","1.9779679"
"Q96A49","SYAP1","5.3936486","1.9754337"
"Q9BXW7","HDHD5","6.101245","1.9735464"
"Q7Z6M3","MILR1","3.9444969","1.9686116"
"P43353","ALDH3B1","5.210383","1.9634224"
"P19256","CD58","5.086848","1.9629055"
"Q9P015","MRPL15","5.099119","1.9600914"
"Q9P0M9","MRPL27","5.2799215","1.9573432"
"Q9BQP7","MGME1","5.487461","1.9552871"
"Q9Y3B7","MRPL11","6.019145","1.9513003"
"Q7Z7H8","MRPL10","5.186155","1.9461635"
"Q9BV79","MECR","5.3810134","1.9199982"
"O15270","SPTLC2","4.6337357","1.9188224"
"Q5K4L6","SLC27A3","5.3490963","1.9024291"
"Q9Y2Q5","LAMTOR2","4.633927","1.8999256"
"Q01780","EXOSC10","4.8241777","1.8988091"
"P28290","ITPRID2","5.34141","1.894783"
